anchor_idx,radius,max_dist,n_escaped,n_total
0,0.023432791233062744,0.023432811722159386,0,10
0,0.023432791233062744,0.023432819172739983,0,10
1,0.02355147711932659,0.02355150505900383,0,10
0,0.023432791233062744,0.02343280427157879,0,10
1,0.02355147711932659,0.023551486432552338,0,10
2,0.025795258581638336,0.02579526975750923,0,10
0,0.023432791233062744,0.023432807996869087,0,10
1,0.02355147711932659,0.023551497608423233,0,10
2,0.025795258581638336,0.02579527534544468,0,10
3,0.023014824837446213,0.02301485277712345,0,10
0,0.023432791233062744,0.02343279868364334,0,10
1,0.02355147711932659,0.02355148270726204,0,10
2,0.025795258581638336,0.025795292109251022,0,10
3,0.023014824837446213,0.0230148583650589,0,10
4,0.024790985509753227,0.02479102648794651,0,10
0,0.023432791233062744,0.023432806134223938,0,10
1,0.02355147711932659,0.023551488295197487,0,10
2,0.025795258581638336,0.025795290246605873,0,10
3,0.023014824837446213,0.023014862090349197,0,10
4,0.024790985509753227,0.02479102462530136,0,10
5,0.0205237939953804,0.020523805171251297,0,10
0,0.023432791233062744,0.023432817310094833,0,10
1,0.02355147711932659,0.023551492020487785,0,10
2,0.025795258581638336,0.025795310735702515,0,10
3,0.023014824837446213,0.023014862090349197,0,10
4,0.024790985509753227,0.024791020900011063,0,10
5,0.0205237939953804,0.020523833110928535,0,10
6,0.021776847541332245,0.02177688106894493,0,10
0,0.023432791233062744,0.023432817310094833,0,10
1,0.02355147711932659,0.02355150133371353,0,10
2,0.025795258581638336,0.025795284658670425,0,10
3,0.023014824837446213,0.023014849051833153,0,10
4,0.024790985509753227,0.02479103021323681,0,10
5,0.0205237939953804,0.02052384428679943,0,10
6,0.021776847541332245,0.021776871755719185,0,10
7,0.01836153119802475,0.018361561000347137,0,10
0,0.023432791233062744,0.023432809859514236,0,10
1,0.02355147711932659,0.02355150319635868,0,10
2,0.025795258581638336,0.025795284658670425,0,10
3,0.023014824837446213,0.023014841601252556,0,10
4,0.024790985509753227,0.024791009724140167,0,10
5,0.0205237939953804,0.02052384242415428,0,10
6,0.021776847541332245,0.021776901558041573,0,10
7,0.01836153119802475,0.018361559137701988,0,10
8,0.01747378334403038,0.017473801970481873,0,10
0,0.023432791233062744,0.02343282289803028,0,10
1,0.02355147711932659,0.023551499471068382,0,10
2,0.025795258581638336,0.025795307010412216,0,10
3,0.023014824837446213,0.023014863952994347,0,10
4,0.024790985509753227,0.02479100413620472,0,10
5,0.0205237939953804,0.02052384614944458,0,10
6,0.021776847541332245,0.021776877343654633,0,10
7,0.01836153119802475,0.018361566588282585,0,10
8,0.01747378334403038,0.017473826184868813,0,10
9,0.015041273087263107,0.015041292645037174,0,10
0,0.023432791233062744,0.02343282476067543,0,10
1,0.02355147711932659,0.023551495745778084,0,10
2,0.025795258581638336,0.025795282796025276,0,10
3,0.023014824837446213,0.023014875128865242,0,10
4,0.024790985509753227,0.02479102462530136,0,10
5,0.0205237939953804,0.020523834973573685,0,10
6,0.021776847541332245,0.02177688665688038,0,10
7,0.01836153119802475,0.018361564725637436,0,10
8,0.01747378334403038,0.017473800107836723,0,10
9,0.015041273087263107,0.015041300095617771,0,10
10,0.012590384110808372,0.012590417638421059,0,10
0,0.023432791233062744,0.023432815447449684,0,10
1,0.02355147711932659,0.023551495745778084,0,10
2,0.025795258581638336,0.025795290246605873,0,10
3,0.023014824837446213,0.0230148546397686,0,10
4,0.024790985509753227,0.024790996685624123,0,10
5,0.0205237939953804,0.02052384242415428,0,10
6,0.021776847541332245,0.02177688293159008,0,10
