iteration,x,y,pred_opt
0,"[-3.622744560241699, 7.190709114074707]",0.8542770743370056,0.863974928855896
1,"[-4.1335954666137695, 6.93700647354126]",0.779896080493927,0.8758740425109863
2,"[-3.353076219558716, 6.6924638748168945]",0.8685204982757568,0.8834925293922424
3,"[-3.3304924964904785, 6.09885835647583]",0.8508936762809753,0.8740671873092651
4,"[-2.761141538619995, 6.803208827972412]",0.9203572869300842,0.9210370779037476
5,"[-2.2120351791381836, 7.2592668533325195]",0.9586307406425476,0.9539956450462341
6,"[-1.5383621454238892, 6.823283672332764]",0.9496858716011047,0.9543765187263489
7,"[-1.8145790100097656, 7.945172309875488]",0.9596155285835266,0.9611731171607971
8,"[-1.039407730102539, 8.15074348449707]",0.945343017578125,0.9595174193382263
9,"[-1.2505446672439575, 8.876598358154297]",0.9645214080810547,0.9629523754119873
10,"[-0.6277163028717041, 9.332008361816406]",0.9155621528625488,0.9617706537246704
11,"[-1.7868022918701172, 9.486881256103516]",0.9793184399604797,0.9667093753814697
12,"[-1.744002342224121, 10.307300567626953]",0.9669479727745056,0.9628405570983887
13,"[-2.487597942352295, 10.600785255432129]",0.9911725521087646,0.9888885617256165
14,"[-3.196314573287964, 11.091737747192383]",0.9909198880195618,0.9940764307975769
15,"[-4.032474040985107, 10.830514907836914]",0.9505248665809631,0.987862229347229
16,"[-2.883025884628296, 11.864985466003418]",0.9863751530647278,0.9966897368431091
17,"[-2.365885019302368, 12.560335159301758]",0.9705660343170166,0.9931780099868774
18,"[-1.6273424625396729, 12.879469871520996]",0.9153022170066833,0.9871051907539368
19,"[-2.4201488494873047, 13.37165641784668]",0.9685335159301758,0.9946678876876831
20,"[-2.760509967803955, 14.08154010772705]",0.9658635854721069,0.9951639771461487
21,"[-3.465944766998291, 14.418782234191895]",0.9935368895530701,0.9943467974662781
22,"[-4.1021223068237305, 15.0]",0.9898309111595154,0.9901655316352844
23,"[-4.952052116394043, 15.0]",0.9448941946029663,0.9887367486953735
24,"[-2.15815806388855, 14.616537094116211]",0.9199956059455872,0.9851700067520142
25,"[-4.9863600730896, 14.236886978149414]",0.9290071725845337,0.9854542016983032
26,"[-0.9811084270477295, 6.342336654663086]",0.9442636370658875,0.9854521751403809
27,"[-0.21479666233062744, 6.362438201904297]",0.9334502816200256,0.9845884442329407
28,"[-1.1262030601501465, 5.599127769470215]",0.9357678294181824,0.9866940379142761
29,"[-4.583765506744385, 11.37987995147705]",0.8970845341682434,0.986402153968811
30,"[0.4211130738258362, 6.003391265869141]",0.9387035965919495,0.9885541796684265
