iteration,x,y,pred_opt
0,"[-1.0728178024291992, 2.4531614780426025]",0.4143662452697754,0.4204161465167999
1,"[-1.0694684982299805, 2.4830586910247803]",0.38890430331230164,0.41335251927375793
2,"[-1.0437113046646118, 2.44701886177063]",0.36609405279159546,0.41096237301826477
3,"[-1.0998882055282593, 2.4402191638946533]",0.480141282081604,0.4806201159954071
4,"[-1.0898255109786987, 2.4081716537475586]",0.48271796107292175,0.49444326758384705
5,"[-1.1332430839538574, 2.434394121170044]",0.544603168964386,0.5435064435005188
6,"[-1.0651085376739502, 2.3850834369659424]",0.46091222763061523,0.5444142818450928
7,"[-1.157003402709961, 2.4116084575653076]",0.5922123789787292,0.6007494330406189
8,"[-1.1462159156799316, 2.4699013233184814]",0.5344507694244385,0.5963234305381775
9,"[-1.1936217546463013, 2.4289889335632324]",0.6572749018669128,0.6223642826080322
10,"[-1.1612179279327393, 2.3772754669189453]",0.6237478852272034,0.6497638821601868
11,"[-1.2261874675750732, 2.396454095840454]",0.723681628704071,0.7083834409713745
12,"[-1.2382410764694214, 2.441786050796509]",0.7072368264198303,0.7176234722137451
13,"[-1.12860107421875, 2.353438377380371]",0.5955004692077637,0.7103134393692017
14,"[-1.2376207113265991, 2.4826486110687256]",0.6799543499946594,0.7064393758773804
15,"[-1.212930679321289, 2.3486764430999756]",0.7360947132110596,0.7203619480133057
16,"[-1.2836875915527344, 2.4810171127319336]",0.7454066276550293,0.7448338270187378
17,"[-1.2168605327606201, 2.5258731842041016]",0.6154271364212036,0.7413946390151978
18,"[-1.3024816513061523, 2.5312867164611816]",0.7487813830375671,0.7293433547019958
19,"[-1.203691005706787, 2.303173542022705]",0.7438239455223083,0.7303430438041687
20,"[-1.2556041479110718, 2.3234055042266846]",0.7909567952156067,0.7765105366706848
21,"[-1.327286720275879, 2.572470188140869]",0.7654376029968262,0.7776473760604858
22,"[-1.3512370586395264, 2.5085418224334717]",0.8313286900520325,0.788194477558136
23,"[-1.2191846370697021, 2.2541041374206543]",0.7869586944580078,0.8161605000495911
24,"[-1.2852120399475098, 2.276050329208374]",0.858197808265686,0.8083043694496155
25,"[-1.3960272073745728, 2.478562116622925]",0.8865965604782104,0.8287677764892578
26,"[-1.1810418367385864, 2.2241814136505127]",0.7562982439994812,0.8791866302490234
27,"[-1.3279426097869873, 2.6209044456481934]",0.7349048256874084,0.874121904373169
28,"[-1.4044114351272583, 2.5309340953826904]",0.8781193494796753,0.876677930355072
29,"[-1.4487742185592651, 2.481292247772217]",0.9290415048599243,0.9106248021125793
30,"[-1.3161064386367798, 2.231304407119751]",0.9017215967178345,0.9077190160751343
