x_next,nearest_anchor,dist_to_nearest_anchor,nearest_anchor_radius,escaped_nearest_ball
"[0.4383087754249573, 0.8911935687065125, 0.9749181866645813, 0.35241782665252686, 0.5995689630508423, 0.23419326543807983]",0,0.023432772606611252,0.023432791233062744,False
"[0.45012450218200684, 0.8870795369148254, 0.9866400361061096, 0.35577696561813354, 0.6150939464569092, 0.22999855875968933]",1,0.023745376616716385,0.023745371028780937,False
"[0.4629230499267578, 0.8824908137321472, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",2,0.026098061352968216,0.026098035275936127,False
"[0.4629230499267578, 0.8824908137321472, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",3,0.0,0.025327494367957115,False
"[0.4882505536079407, 0.8824908137321472, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",3,0.02532750368118286,0.025327494367957115,False
"[0.510954737663269, 0.8824908137321472, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",5,0.02270418405532837,0.02270418033003807,False
"[0.5104840993881226, 0.8778920769691467, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",6,0.004622756969183683,0.021417286247015,False
"[0.532371997833252, 0.8824908137321472, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",6,0.02141726016998291,0.021417286247015,False
"[0.5512685775756836, 0.8824908137321472, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",8,0.01889657974243164,0.018896559253335,False
"[0.567386269569397, 0.8824908137321472, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",9,0.01611769199371338,0.016117680817842484,False
"[0.5805260539054871, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",10,0.013181022368371487,0.013181006535887718,False
"[0.59172123670578, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",11,0.011195182800292969,0.011195192113518715,False
"[0.6028847694396973, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",12,0.011163532733917236,0.0111635597422719,False
"[0.6028847694396973, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",13,0.0,0.00805622711777687,False
"[0.6122462153434753, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",13,0.009361445903778076,0.00805622711777687,True
"[0.6186365485191345, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",15,0.00639033317565918,0.006390345748513937,False
"[0.6246218085289001, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",16,0.005985260009765625,0.0059852609410882,False
"[0.6291929483413696, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",17,0.004571139812469482,0.004571130499243736,False
"[0.6351779103279114, 0.8814489841461182, 0.9996336698532104, 0.359223872423172, 0.6322805881500244, 0.22550931572914124]",18,0.005984961986541748,0.005984979216009378,False
"[0.6391453146934509, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",19,0.0040856958366930485,0.004085687920451164,False
"[0.6425355672836304, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",20,0.0033902525901794434,0.003390278434380889,False
"[0.6456019878387451, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",21,0.003066420555114746,0.0035600150004029274,False
"[0.6483472585678101, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",22,0.0027452707290649414,0.002745257457718253,False
"[0.6515588760375977, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",23,0.0032116174697875977,0.0032116195652633905,False
"[0.6530407667160034, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",24,0.0014818906784057617,0.0020167073234915733,False
"[0.6547015905380249, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",25,0.0016608238220214844,0.0016607986763119698,False
"[0.6570049524307251, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",26,0.0023033618927001953,0.0023033812176436186,False
"[0.6583733558654785, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",27,0.001368403434753418,0.0013683992438018322,False
"[0.6603959202766418, 0.881247878074646, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",28,0.00202256441116333,0.0020225727930665016,False
"[0.6623023748397827, 0.8809411525726318, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",29,0.0019309711642563343,0.0019309788476675749,False
"[0.6640922427177429, 0.8809411525726318, 0.9999943375587463, 0.3590943217277527, 0.6331554055213928, 0.22550931572914124]",30,0.001789867877960205,0.0017898662481456995,False
"[0.6645734310150146, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",31,0.00048140453873202205,0.00048137421254068613,False
"[0.6653561592102051, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",32,0.0007827281951904297,0.0007827577064745128,False
"[0.6659904718399048, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",33,0.000634312629699707,0.0007360890740528703,False
"[0.6675495505332947, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",34,0.0015590786933898926,0.0015590549446642399,False
"[0.668057382106781, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",35,0.0005078315734863281,0.0005078245885670185,False
"[0.668057382106781, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",36,0.0,-0.0007471416029147804,True
"[0.668057382106781, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",36,0.0,-0.0007471416029147804,True
"[0.6683210730552673, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",36,0.0002636909484863281,-0.0007471416029147804,True
"[0.668749988079071, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",39,0.00042891502380371094,0.0005301871569827199,False
"[0.6698848605155945, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",40,0.0011348724365234375,0.0011348809348419309,False
"[0.6698848605155945, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",41,0.0,-0.0006443985621444881,True
"[0.6706677675247192, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",41,0.0007829070091247559,-0.0006443985621444881,True
"[0.6713900566101074, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",43,0.0007222890853881836,0.0007335313712246716,False
"[0.6717488169670105, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",44,0.00035876035690307617,0.0003708272415678948,False
"[0.6717556715011597, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",45,6.854534149169922e-06,-0.00017908646259456873,True
"[0.6717608571052551, 0.8809307217597961, 0.9999987483024597, 0.359097957611084, 0.633163571357727, 0.22550931572914124]",46,5.185604095458984e-06,-0.0002043826098088175,True
