x_next,nearest_anchor,dist_to_nearest_anchor,nearest_anchor_radius,escaped_nearest_ball
"[-1.156280755996704, 0.04933173581957817]",0,0.03491811081767082,0.03491806611418724,False
"[-1.1863372325897217, 0.05157492309808731]",1,0.030140068382024765,0.030140066519379616,False
"[-1.212870717048645, 0.053571999073028564]",2,0.026608534157276154,0.026608576998114586,False
"[-1.2351285219192505, 0.055193573236465454]",3,0.022316796705126762,0.022316817194223404,False
"[-1.2537120580673218, 0.05660657584667206]",4,0.01863717846572399,0.01863713562488556,False
"[-1.269368290901184, 0.05770834535360336]",5,0.01569495163857937,0.01569494977593422,False
"[-1.2819459438323975, 0.058677949011325836]",6,0.012614970095455647,0.01261499710381031,False
"[-1.2910923957824707, 0.059064216911792755]",7,0.009154604747891426,0.009154549799859524,False
"[-1.2993041276931763, 0.060043901205062866]",8,0.008269964717328548,0.008269996382296085,False
"[-1.3060933351516724, 0.059684835374355316]",9,0.006798695772886276,0.006902525667101145,False
"[-1.3111941814422607, 0.06038958206772804]",10,0.005149301141500473,0.005384798627346754,False
"[-1.3155028820037842, 0.06147328019142151]",11,0.00444289343431592,0.004442868288606405,False
"[-1.3184075355529785, 0.06103212758898735]",12,0.002937963232398033,0.0029379792977124453,False
"[-1.3207570314407349, 0.06177203357219696]",13,0.0024632480926811695,0.0024632441345602274,False
"[-1.3223638534545898, 0.061742544174194336]",14,0.0016070925630629063,0.0016070413403213024,False
"[-1.324292540550232, 0.06206322833895683]",15,0.0019551655277609825,0.0019551462028175592,False
"[-1.3255023956298828, 0.06259103864431381]",16,0.001319974660873413,0.001320009701885283,False
"[-1.3268834352493286, 0.06275846809148788]",17,0.001391151687130332,0.00149717356543988,False
"[-1.3271405696868896, 0.06276465952396393]",18,0.00025720897247083485,0.00025719040422700346,False
"[-1.327872395515442, 0.06303084641695023]",19,0.0007787325885146856,0.000778727640863508,False
"[-1.328775405883789, 0.06298652291297913]",20,0.0009040975128300488,0.0009040861041285098,False
"[-1.3289746046066284, 0.06298652291297913]",21,0.00019919872283935547,-0.0001992371107917279,True
"[-1.3292956352233887, 0.06302861124277115]",22,0.00032377781462855637,0.00032378477044403553,False
"[-1.329342246055603, 0.06302159279584885]",23,4.713627276942134e-05,4.807228469871916e-05,False
"[-1.3293676376342773, 0.06302472949028015]",24,2.558458800194785e-05,2.5536444809404202e-05,False
"[-1.3293676376342773, 0.06302467733621597]",25,5.21540641784668e-08,-2.0801792288693832e-06,True
"[-1.3295880556106567, 0.06312116235494614]",25,0.0002405896520940587,-2.0801792288693832e-06,True
"[-1.3297966718673706, 0.0631898045539856]",27,0.0002196189743699506,0.00021958128490950912,False
"[-1.3303463459014893, 0.06326820701360703]",28,0.0005552372895181179,0.0005552105139940977,False
"[-1.3303617238998413, 0.06327489763498306]",29,1.677042746450752e-05,1.675642852205783e-05,False
"[-1.3308669328689575, 0.06320637464523315]",30,0.0005098347901366651,0.0005098652327433228,False
"[-1.331049919128418, 0.06320637464523315]",31,0.00018298625946044922,-0.00018303636170458049,True
"[-1.3318465948104858, 0.06320637464523315]",32,0.0007966756820678711,-0.0007966936682350934,True
"[-1.3325666189193726, 0.06320637464523315]",33,0.0007200241088867188,-0.0007200023392215371,True
"[-1.3334224224090576, 0.06320637464523315]",34,0.0008558034896850586,-0.0008558074478060007,True
"[-1.3340786695480347, 0.06320637464523315]",35,0.0006562471389770508,-0.0006562625057995319,True
"[-1.3353667259216309, 0.06317455321550369]",36,0.0012884493917226791,-0.0013713673688471317,True
"[-1.3365325927734375, 0.06317455321550369]",37,0.0011658668518066406,-0.0011659178417176008,True
"[-1.3380827903747559, 0.06317455321550369]",38,0.0015501976013183594,-0.001550177694298327,True
"[-1.3395023345947266, 0.06317455321550369]",39,0.0014195442199707031,-0.001419575186446309,True
"[-1.3414013385772705, 0.06317455321550369]",40,0.0018990039825439453,-0.0019879525061696768,True
"[-1.3439432382583618, 0.06317455321550369]",41,0.0025418996810913086,-0.002759353257715702,True
"[-1.3473801612854004, 0.06317455321550369]",42,0.0034369230270385742,-0.00343697820790112,True
"[-1.351293921470642, 0.06371059268712997]",43,0.003950298298150301,-0.003950274549424648,True
"[-1.3565388917922974, 0.06371059268712997]",44,0.0052449703216552734,-0.005244951229542494,True
"[-1.3621585369110107, 0.06371059268712997]",45,0.005619645118713379,-0.005619704257696867,True
"[-1.369500994682312, 0.06432657688856125]",46,0.007368250750005245,-0.007368255872279406,True
"[-1.3779938220977783, 0.06432657688856125]",47,0.008492827415466309,-0.008492875844240189,True
"[-1.3895137310028076, 0.06432657688856125]",48,0.011519908905029297,-0.01151992753148079,True
"[-1.4037805795669556, 0.06432657688856125]",49,0.01426684856414795,-0.014266857877373695,True
"[-1.4211090803146362, 0.06432657688856125]",50,0.017328500747680664,-0.017328524962067604,True
"[-1.4431676864624023, 0.06432657688856125]",51,0.022058606147766113,-0.02205863781273365,True
"[-1.4584038257598877, 0.06432657688856125]",52,0.015236139297485352,-0.02856297977268696,True
"[-1.4638538360595703, 0.06432657688856125]",53,0.005450010299682617,-0.03238789364695549,True
"[-1.4717307090759277, 0.06432656943798065]",54,0.007876873016357422,-0.03395761549472809,True
"[-1.4677082300186157, 0.06432656943798065]",54,0.00385439395904541,-0.03395761549472809,True
"[-1.4612704515457153, 0.06432657688856125]",54,0.0025833845138549805,-0.03395761549472809,True
"[-1.4717130661010742, 0.06532904505729675]",55,0.0010026308009400964,-0.035983774811029434,True
"[-1.458636999130249, 0.07629349827766418]",53,0.011969192884862423,-0.03238789364695549,True
"[-1.4619977474212646, 0.06432657688856125]",57,0.0007272958755493164,-0.033648066222667694,True
"[-1.462145447731018, 0.06432657688856125]",60,0.00014770030975341797,-0.034150611609220505,True
"[-1.463234543800354, 0.06432657688856125]",54,0.0006192922592163086,-0.03395761549472809,True
"[-1.4717307090759277, 0.06432657688856125]",55,7.450580596923828e-09,-0.035983774811029434,True
"[-1.4579867124557495, 0.06977695226669312]",53,0.005466312635689974,-0.03238789364695549,True
"[-1.4717307090759277, 0.06432656943798065]",55,0.0,-0.035983774811029434,True
"[-1.4717307090759277, 0.06432657688856125]",63,0.0,-0.03711885213851929,True
"[-1.4657442569732666, 0.06432657688856125]",54,0.001890420913696289,-0.03395761549472809,True
"[-1.470630407333374, 0.06590225547552109]",58,0.0012250387808308005,-0.03698047250509262,True
"[-1.462295651435852, 0.06432657688856125]",61,0.00015020370483398438,-0.0343891941010952,True
"[-1.4717307090759277, 0.06432656943798065]",55,0.0,-0.035983774811029434,True
"[-1.4659886360168457, 0.06432657688856125]",67,0.00024437904357910156,-0.03466489538550377,True
"[-1.4715499877929688, 0.06753455847501755]",68,0.0018735104240477085,-0.035616472363471985,True
"[-1.4699996709823608, 0.06432657688856125]",68,0.0016972305020317435,-0.035616472363471985,True
"[-1.4600260257720947, 0.06432657688856125]",57,0.0012444257736206055,-0.033648066222667694,True
"[-1.4597597122192383, 0.07543201744556427]",59,0.001415144419297576,-0.03187692165374756,True
"[-1.4584929943084717, 0.06432657688856125]",53,8.916854858398438e-05,-0.03238789364695549,True
"[-1.4717307090759277, 0.06432657688856125]",63,0.0,-0.03711885213851929,True
"[-1.4684016704559326, 0.0685039758682251]",72,0.0032941875979304314,-0.035846784710884094,True
"[-1.467141032218933, 0.06432657688856125]",56,0.0005671977996826172,-0.03480179235339165,True
"[-1.4584033489227295, 0.06432657688856125]",53,4.76837158203125e-07,-0.03238789364695549,True
"[-1.4621779918670654, 0.06432657688856125]",61,3.254413604736328e-05,-0.0343891941010952,True
"[-1.4716436862945557, 0.06655348837375641]",72,0.0009855343960225582,-0.035846784710884094,True
"[-1.4717307090759277, 0.06432656943798065]",55,0.0,-0.035983774811029434,True
"[-1.4717307090759277, 0.06432657688856125]",63,0.0,-0.03711885213851929,True
"[-1.4556665420532227, 0.07733932137489319]",59,0.003149184165522456,-0.03187692165374756,True
"[-1.4603662490844727, 0.07473106682300568]",75,0.00092694052727893,-0.03136663883924484,True
"[-1.4696567058563232, 0.06432657688856125]",73,0.00034296512603759766,-0.03548630326986313,True
"[-1.4713627099990845, 0.0678475946187973]",72,0.00036478022229857743,-0.035846784710884094,True
"[-1.4705842733383179, 0.05631561577320099]",73,0.00803226325660944,-0.03548630326986313,True
