Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,regret,iteration,seed,config,timestamp,run_label
0.19707787,0.0724539,-0.53518885,-0.22450277,0.08658477,0.15274931,-0.17091978,0.008476151,0.006203247,0.0011966643,0.0013119053,0.8802264,0.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.13358256,0.029480696,-0.6260793,-0.21311708,0.07323853,0.11565012,-0.16966185,0.012620308,0.005610936,0.003443682,0.0001260211,0.89056444,1.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.1047044,0.0009680055,-0.6862113,-0.2056543,0.06498134,0.09138497,-0.16868967,0.015356353,0.0050748535,0.005214406,-0.000748291,0.91419184,2.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.089787796,-0.020759907,-0.73224837,-0.19992776,0.058277413,0.072643146,-0.16796936,0.01741961,0.0050748535,0.005214406,-0.000748291,0.9309204,3.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.06208154,-0.038746018,-0.7712523,-0.19531886,0.052606944,0.05705442,-0.16725828,0.019601911,0.0050748535,0.005214406,-0.000748291,0.9406329,4.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.06274753,-0.050561663,-0.7966576,-0.19214652,0.04900004,0.04687842,-0.16685581,0.020834915,0.0049695796,0.005214406,-0.000748291,0.94960093,5.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.04828255,-0.063077204,-0.82211864,-0.18893448,0.04532957,0.036539186,-0.16660647,0.021956302,0.0049695796,0.005214406,-0.000748291,0.95547163,6.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.04296592,-0.07196609,-0.84066546,-0.18663666,0.042542547,0.029081399,-0.16632032,0.022966417,0.0049299537,0.005369465,-0.0008566533,0.96000165,7.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.04907454,-0.07937446,-0.8566209,-0.18472461,0.040441982,0.022263257,-0.1661649,0.02395096,0.0048600496,0.0056939875,-0.0008566533,0.9648732,8.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.028763834,-0.08837973,-0.87567395,-0.18223001,0.03777846,0.014831778,-0.16594082,0.024746949,0.0047890837,0.005961913,-0.0010582646,0.96719784,9.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.02894535,-0.09286631,-0.88481224,-0.18118265,0.036571383,0.011459443,-0.16581976,0.025135757,0.0047558676,0.006071994,-0.0011109583,0.96925557,10.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.024244705,-0.097130515,-0.894062,-0.17999361,0.03533751,0.007829417,-0.16569473,0.025534505,0.0047122897,0.0061959205,-0.0011264471,0.9707759,11.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.022233892,-0.10040278,-0.90094084,-0.17910668,0.03447172,0.0050099045,-0.16560216,0.02586147,0.0047183526,0.0062286076,-0.0011264471,0.9720347,12.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.022130989,-0.10336819,-0.9067819,-0.17863461,0.033674352,0.002580909,-0.16562918,0.02615818,0.0047160657,0.006315882,-0.0011264471,0.9732243,13.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.031229913,-0.10602541,-0.912686,-0.17787449,0.03287769,0.00018310524,-0.16560355,0.026361238,0.0046528666,0.006315882,-0.0011264471,0.9752577,14.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.02530311,-0.1109032,-0.92293656,-0.17658992,0.031368505,-0.004047212,-0.16546908,0.026802944,0.004628109,0.006393211,-0.0012085804,0.97659236,15.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.025109261,-0.11465974,-0.9302673,-0.17580788,0.03026833,-0.006934108,-0.16538331,0.027122509,0.0045973337,0.006488192,-0.001250762,0.9778327,16.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.014915401,-0.118320234,-0.9374922,-0.17490159,0.029184477,-0.009820921,-0.16530135,0.027584195,0.0045973337,0.006488192,-0.001250762,0.978249,17.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.028045068,-0.119365886,-0.9398728,-0.17461196,0.028922139,-0.010776738,-0.16528013,0.027682545,0.0045877984,0.006515577,-0.0012650079,0.97969556,18.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.015865022,-0.12355445,-0.9485882,-0.173491,0.027723368,-0.014302633,-0.16513577,0.028132666,0.0045877984,0.006515577,-0.0012650079,0.98014855,19.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.026247881,-0.1248678,-0.9513983,-0.17317875,0.027329793,-0.015452949,-0.16511962,0.028323902,0.004593697,0.006519839,-0.0012650079,0.9813542,20.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.022628414,-0.12861304,-0.95918715,-0.17207226,0.0261381,-0.018715603,-0.16503042,0.028709652,0.004615875,0.0065489137,-0.0012650079,0.98223567,21.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.02446731,-0.13152725,-0.96529573,-0.17139536,0.025382807,-0.021195266,-0.16491751,0.028942607,0.004605288,0.006608348,-0.00128591,0.9832319,22.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.018641645,-0.13502616,-0.97229576,-0.17049864,0.024380362,-0.023787173,-0.1648932,0.028994136,0.004638359,0.0066239727,-0.001295771,0.9837698,23.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.0092861485,-0.13694246,-0.9764626,-0.16996846,0.023804804,-0.025505535,-0.16481192,0.029220715,0.0046195593,0.0066825636,-0.0013063478,0.98378164,24.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.020740109,-0.13691571,-0.9764741,-0.17003441,0.023732087,-0.025499234,-0.16478863,0.029216342,0.004590402,0.006671215,-0.0013324403,0.9844642,25.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.009615071,-0.13947113,-0.98163056,-0.16943204,0.022972077,-0.027533224,-0.16470386,0.02946943,0.004590402,0.006671215,-0.0013324403,0.9844655,26.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
0.021037664,-0.1395774,-0.9815226,-0.16947076,0.022932438,-0.027654063,-0.16473576,0.029516978,0.0045789555,0.006719899,-0.0013324403,0.9851267,27.0,0,se_gaussian_10D,2026-08-10_09-03-29,gaussian_10D_ucb_constant
